Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
VIETNAM SOC REP,818281.66,13318.61,3.53,9.857,61.44
IRAN,1574809.4,11402.09,6.793,8.439,138.12
SAUDI ARAB,1378462.2,10130.64,5.946,7.498,136.07
U ARAB EMTS,1388810.58,9348.39,5.991,6.919,148.56
U S A,704414.33,8521.92,3.038,6.307,82.66
INDONESIA,852153.3,5237.06,3.676,3.876,162.72
NEPAL,2205113.12,5084.75,9.512,3.763,433.67
BANGLADESH PR,1620500.25,4889.08,6.99,3.619,331.45
MALAYSIA,743139.37,4593.74,3.206,3.4,161.77
IRAQ,560081.43,4470.28,2.416,3.309,125.29
NETHERLAND,280900.83,3130.91,1.212,2.317,89.72
U K,307943.85,2641.73,1.328,1.955,116.57
OMAN,704268.77,2315.8,3.038,1.714,304.11
KUWAIT,350563.75,2298.66,1.512,1.701,152.51
QATAR,430282.13,2130.19,1.856,1.577,201.99
YEMEN REPUBLC,341814.37,2036.74,1.474,1.507,167.82
PHILIPPINES,334269.68,2006.87,1.442,1.485,166.56
BENIN,715338.36,1981.84,3.086,1.467,360.95
EGYPT A RP,224340.37,1725.69,0.968,1.277,130.0
RUSSIA,223365.86,1699.29,0.963,1.258,131.45
SENEGAL,731297.54,1663.23,3.154,1.231,439.69
GUINEA,478106.74,1294.89,2.062,0.958,369.23
CANADA,134753.12,1247.83,0.581,0.924,107.99
COTE D IVOIRE,446750.85,1215.79,1.927,0.9,367.46
GERMANY,99681.27,1197.74,0.43,0.886,83.22
TURKEY,135038.39,1172.35,0.582,0.868,115.19
SINGAPORE,181699.71,1170.0,0.784,0.866,155.3
SRI LANKA DSR,418483.9,1147.5,1.805,0.849,364.69
AUSTRALIA,112827.44,1117.68,0.487,0.827,100.95
MYANMAR,59634.3,1053.66,0.257,0.78,56.6
ALGERIA,149231.43,1029.03,0.644,0.762,145.02
SOMALIA,358897.77,988.68,1.548,0.732,363.01
JAPAN,44824.26,953.44,0.193,0.706,47.01
CHINA P RP,104825.72,925.74,0.452,0.685,113.23
LIBERIA,309858.63,860.66,1.337,0.637,360.02
BAHARAIN IS,134340.71,842.9,0.579,0.624,159.38
THAILAND,99719.37,789.93,0.43,0.585,126.24
TOGO,267491.01,764.8,1.154,0.566,349.75
SOUTH AFRICA,195389.11,762.46,0.843,0.564,256.26
PAKISTAN IR,97667.19,707.39,0.421,0.524,138.07
JORDAN,87814.12,707.22,0.379,0.523,124.17
DJIBOUTI,282113.9,683.52,1.217,0.506,412.74
BELGIUM,67031.9,670.38,0.289,0.496,99.99
FRANCE,51215.09,559.95,0.221,0.414,91.46
SPAIN,54354.46,533.08,0.234,0.395,101.96
ANGOLA,86003.45,501.49,0.371,0.371,171.5
MAURITIUS,75817.71,479.65,0.327,0.355,158.07
ISRAEL,57095.48,470.94,0.246,0.349,121.24
GHANA,103564.04,410.63,0.447,0.304,252.21
MALDIVES,204694.67,410.21,0.883,0.304,499.0
NORWAY,85277.31,386.44,0.368,0.286,220.67
ITALY,49663.14,379.73,0.214,0.281,130.79
